<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1993.09.02	1.32780	1.32850	1.32400	1.32570	691	0	50
1993.09.03	1.32500	1.33000	1.32200	1.32800	1301	0	50
1993.09.06	1.32780	1.32850	1.32100	1.32600	1321	0	50
1993.09.07	1.32700	1.32850	1.31900	1.32050	1251	0	50
1993.09.08	1.32000	1.32250	1.31500	1.31780	1281	0	50
1993.09.09	1.31700	1.31950	1.31220	1.31620	1381	0	50
1993.09.10	1.31550	1.31700	1.31200	1.31410	861	0	50
1993.09.13	1.31410	1.31730	1.31350	1.31470	701	0	50
1993.09.14	1.31460	1.32400	1.31400	1.32200	1261	0	50
1993.09.15	1.31950	1.32120	1.30800	1.31200	1891	0	50
1993.09.16	1.31150	1.31650	1.30700	1.31420	1631	0	50
1993.09.17	1.31300	1.31550	1.31150	1.31350	751	0	50
1993.09.20	1.31300	1.32350	1.31250	1.32300	1201	0	50
1993.09.21	1.32300	1.32570	1.31770	1.32040	1341	0	50
1993.09.22	1.32020	1.32200	1.31470	1.31960	1401	0	50
1993.09.23	1.32000	1.32550	1.31860	1.32200	1181	0	50
1993.09.24	1.32130	1.32220	1.31800	1.32000	711	0	50
1993.09.27	1.31930	1.32710	1.31930	1.32610	881	0	50
1993.09.28	1.32500	1.32750	1.32150	1.32310	1011	0	50
1993.09.29	1.32280	1.33150	1.31930	1.32850	1871	0	50
1993.09.30	1.32800	1.33800	1.32800	1.33440	1361	0	50
